gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
M,2,材料,3,1,1,2,0,0,0,1,2,3,commuting,csnwey,csnwey,cnsewy,csnwey
F,2,人社系,3,3,1,1,1,0,0,1,2,3,wakingup,csywne,cswyen,csyenw,cswyen
M,4,材料,3,0,1,1,1,0,0,1,2,3,resting,csewny,csewny,cesnwy,csewny
F,2,工工系,3,2,2,1,0,0,0,2,1,3,working,csenwy,csenwy,cesnwy,csenwy
F,2,經濟系,2,1,1,1,0,0,0,1,2,3,resting,necswy,necswy,nceswy,encswy
M,2,資訊工程學系,2,2,2,1,0,0,0,1,3,2,working,wnscey,wncsey,wnscey,nwcsey
F,2,資工,3,0,0,4,0,0,0,1,2,3,commuting,ecswny,ecswny,ecsnwy,ceswny
M,1,物理系,3,1,2,2,0,0,0,1,2,3,resting,nywesc,nyewcs,nwyces,nyewcs
F,2,資工系,4,3,2,3,0,0,0,1,2,3,resting,scenwy,scenwy,scenwy,csenwy
M,2,資工系,2,1,2,0,0,0,1,1,2,3,resting,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,3,1,1,1,0,0,0,1,2,3,wakingup,ncswey,ncswey,ncsewy,cnswey
M,2,電機,4,2,2,2,0,0,0,1,2,3,wakingup,csnewy,csenwy,cnsewy,csenwy
M,2,資工系,4,3,3,3,1,1,1,2,1,3,wakingup,ncewys,ncewsy,nceswy,cnewsy
F,2,資工,3,2,2,1,0,0,0,1,2,3,wakingup,ncswye,ncswey,ncsewy,cnswey
F,2,資工系,4,1,0,3,0,0,0,1,2,3,commuting,csewny,csewny,cesnwy,csewny
F,2,特教23,3,2,2,2,0,0,0,1,2,3,commuting,csnewy,csenwy,cnsewy,csenwy
F,4,電子資料處理,4,4,4,4,0,0,0,1,2,3,wakingup,cnswey,cnswey,cnsewy,cnswey
F,2,教育系,3,2,3,1,0,0,0,1,2,3,commuting,nscewy,nscewy,ncsewy,nscewy
F,1,心諮系,2,2,1,0,0,0,0,1,2,3,resting,scewny,scewny,scenwy,csewny
F,2,歷史系,4,3,1,3,1,0,0,1,2,3,working,ncwyse,ncwyes,ncwesy,cnwyes
M,2,資工系,2,1,0,1,0,0,0,1,2,3,commuting,ecswny,ecswny,ecsnwy,ceswny
F,2,醫管系,3,2,1,2,0,0,0,1,2,3,commuting,nwscey,nwcsey,nswcey,nwcsey
